Frame,True Positives,False Negatives,False Positives,Avg IoU,Precision
50,0,1,3,0,0.0
51,1,0,2,0.3021648499286694,0.3333333333333333
52,0,1,3,0,0.0
53,0,1,3,0,0.0
54,1,0,2,0.30374313186813184,0.3333333333333333
55,0,1,3,0,0.0
56,0,1,3,0,0.0
57,0,1,3,0,0.0
58,0,1,3,0,0.0
59,0,1,3,0,0.0
60,1,0,2,0.32259294411590533,0.3333333333333333
61,1,0,2,0.37310626032549477,0.3333333333333333
62,1,0,2,0.40104449073941956,0.3333333333333333
63,1,0,2,0.447897546258202,0.3333333333333333
64,1,0,2,0.45691014188124013,0.3333333333333333
65,1,0,2,0.3934832317073171,0.3333333333333333
66,1,0,2,0.42084454226787316,0.3333333333333333
67,1,0,2,0.39689683876338155,0.3333333333333333
68,1,0,2,0.3898840885142255,0.3333333333333333
69,1,0,2,0.31587248446973926,0.3333333333333333
70,0,1,3,0,0.0
71,0,1,3,0,0.0
72,0,1,3,0,0.0
73,0,1,3,0,0.0
74,0,1,3,0,0.0
75,1,0,2,0.32860703812316716,0.3333333333333333
76,1,0,2,0.31886086135115277,0.3333333333333333
77,1,0,2,0.37017797017797016,0.3333333333333333
78,1,0,2,0.3782400486482378,0.3333333333333333
79,1,0,2,0.3642647398462503,0.3333333333333333
80,1,0,2,0.3674971311514278,0.3333333333333333
81,1,0,2,0.4681336910442565,0.3333333333333333
82,1,0,2,0.4532538864213198,0.3333333333333333
83,1,0,2,0.3967869603707754,0.3333333333333333
84,1,0,2,0.4011731701096659,0.3333333333333333
85,1,0,2,0.3463380930446799,0.3333333333333333
86,1,0,2,0.33152557319223985,0.3333333333333333
87,1,0,2,0.33208686050791314,0.3333333333333333
88,0,1,3,0,0.0
89,1,0,2,0.3048523489932886,0.3333333333333333
90,1,0,2,0.3069306930693069,0.3333333333333333
91,1,0,2,0.3341325531774488,0.3333333333333333
92,1,0,2,0.3494836140138977,0.3333333333333333
93,1,0,2,0.3699132811445539,0.3333333333333333
94,1,0,2,0.41561548499347545,0.3333333333333333
95,1,0,2,0.42745173007073217,0.3333333333333333
96,1,0,2,0.4175717830191593,0.3333333333333333
97,1,0,2,0.38824899702342436,0.3333333333333333
98,1,0,2,0.3574208053497824,0.3333333333333333
99,1,0,2,0.340315048442183,0.3333333333333333
100,1,0,2,0.36112000512295084,0.3333333333333333
101,1,0,2,0.3452172577921081,0.3333333333333333
102,1,0,2,0.3312766655726945,0.3333333333333333
103,1,0,2,0.34031060094530724,0.3333333333333333
104,0,1,3,0,0.0
105,0,1,3,0,0.0
106,0,1,3,0,0.0
107,0,1,3,0,0.0
108,0,1,3,0,0.0
109,1,0,2,0.33699231613611413,0.3333333333333333
110,1,0,2,0.3563852480974729,0.3333333333333333
111,1,0,2,0.3980928251523645,0.3333333333333333
112,1,0,2,0.3948307493800528,0.3333333333333333
113,1,0,2,0.3634573458049089,0.3333333333333333
114,1,0,2,0.5996105073810338,0.3333333333333333
115,1,0,2,0.5870373730043541,0.3333333333333333
116,1,0,2,0.5687861271676301,0.3333333333333333
117,1,0,2,0.5711857061902064,0.3333333333333333
118,1,0,2,0.5381857176368084,0.3333333333333333
